,review Text,review Grade
0,"Leason learned with this one.  I received the phone a couple weeks ago, but waited for my daughter to get home from college for Christmas before activating it.  After she activated it, she was having problems sending messages, etc., so she went to the Verizon store for help.  She was told the serial number for the phone is blacklisted because it has been reported lost or stolen.  When we tried to re-active her old phone, her number had been blocked for fraud associated with the stolen/lost phone.  She and my husband were on the phone with Verizon last night for more than two hours trying to get this mess resolved.  Don't do it.  It's not worth it.  Just get a new phone.",1
1,"The camera doesn’t work, neither does the flash light. This has been a problem since unpacking the item. Eventually, both would work after resetting and restoring my iPhone but would then stop after a few days.I have dealt with this issue for over a month. Initially, I tried calling the seller multiple times and have left a voice message. Never heard from them. So I am now stuck with a faulty phone that works on its own terms.The seller was Lonestar Mobile.",1
2,Package arrived on time. But the phone was not unlocked as advertised,1
3,"after I used this phone, it have some problems.it will automatically restart when I use it,especially charging.i was scared,because i have no extra money to change another phone.i was bothered by this problem.",1
4,"Despite the basic packaging, I was quite impressed with the condition of the phone, it looked brand new without a single scratch, which was one of my main concerns, when purchasing a refurbished phone. It also came with nicely packaged; headphones, aux adapter cable, and a charger. What I like the most about this purchase, was the fact that it was SIM unlocked(read some reviews saying it wasn’t). I was able to insert my AT&T SIM card and have it work immediately without any complications, I was able to call/text people within minutes of activating the phone. I’ve only had this phone for a week now and so far nothing seems to raise any red flags yet, I’ll update my review if anything changes.",5
5,I should be able to give zero stars. This is a scam. The phone I got is faulty and the charger never worked. I have to spend money to get it fixed and I have to buy a charger. I am reluctant to spend money to get it fixed because it might still not work. I am stuck with a useless piece of crap.,1
6,"COMPRE UN IPHONE 8 DE 256 GB TAL COMO ESTA EN LA PUBLICACION Y EN EL RECIBO DE COMPRA Y ASI ME LO COBRO. PERO CUANDO ME LO MANDO ERA UN IPHONE 8 DE 64 GB, CUYO VALOR OBVIAMENTE ES MENOR.ES UN PESIMO VENDEDOR, UN ESTAFADOR... TENGAN CUIDADOSI ALGO DE DECENCIA LE QUEDA QUE ME DEVUELVA EL VALOR DE LA DIFERENCIA.",1
7,The screen was too dark even with brightness at 100% the screen didnt look the way is supposed to,1
8,"I researched the iPhone 6,7, and 8 as replacements for my aging 5s. I also sought out sellers with good ratings for this purchase. I settled on MyWit based on their reviews and their volume of sales. The phone arrived a day early and it is absolutely pristine. If it is a refurb, there are zero signs of that as there are no marks anywhere on it. Not even finger prints or dust. It came with a nice flex lighting cable and Apple charger (no sim as advertised).I put the sim card from my old iPhone 5s in it and went through the setup questions. I had a fully functional iPhone 8  in 5 minutes tops.  I selected the iPhone 8 over the 6 or 7 due to the advanced technology in the 8. It is worth the extra $100 over the same size 7.  It is fast but the battery lasts all day without showing significant signs of needing a charge.I also purchased a Speck Candy Shell case for this phone. The iPhone 8 has a glass back for wireless charging and it is very smooth and slick to hold. With my dry fingers, it is difficult to even use the phone so a case is necessary to give it some grip. The Speck case is a perfect, anti-slip and lots of drop and screen protection. See this case here https://www.amazon.com/Speck-Products-CandyShell-Phone-iPhone/dp/B01K094IZ8Very pleased with the seller too and I would certainly use them for another phone purchase without question!",5
9,"iPhone didn't come in original packaging and with original accesses. Which was expected. Had couple very minor scratches, which is expected as well. It was fully unlocked (I have tested it). IMEI was not reported lost/stolen ether. Overall it's quite nice and for a good price.",5
10,"The whole side of the phone is cracked and is obviously in bad condition, I do not recommend this to anyone.",1
11,These cannot possibly be certified refurbished as stated. Both phone batteries were so dead when I received them it took a day to charge. One phone has a camera that does not work.,1
12,"I bought this phone and it immediately started having problems and I try to contact the company but no response, I contacted amazon and one person told me i can mail it back for my money back,  i then talked to someone else who said the first person was wrong and that if i were to have sent my phone back (I Was waiting a day because I wanted to buy a new phone so i would have one) I would of not received any money and would be out a phone and money. I contacted the company again and they replied but are refusing at the very least a return, suggesting I take it to a ""repair shop"" and have them look at it. It freezes constantly and the volume doesn't work most of the time and at random times every day it makes a loud beeping sound and goes black for about a minute. I'm very disappointed in the whole situation.",1
13,"I’ve had this phone for just over two weeks now, and I haven’t had any issues with it (:::knock on wood:::). My carrier is T-Mobile, so connecting to the network was as simple as transferring my sim card from my dinosaur 5s to this phone. I feel like I got what I paid for, and I am satisfied with my purchase.",5
14,Was told by Customer Service there was no way to unlock the phone and that it was GSM unlocked as stated. I contacted Apple who checked the number and found it was still registered to AT&T. I logged in and unlocked it from AT&T but this was not GSM unlocked. It was an AT&T phone. Hope the phone works better than Jem Jem's indifferent customer service.,1
15,Phone did not work on the Verizon network but the customer service through the return process was excellent!,4
16,we buy an unlocked iphone and to open the screen it is asking for a code! very bad service,1
17,"The phone was great I was a little worried because of the reviews but when i received the phone, it was great. The glass at the back is completely intact, there is 2 small scratches at the front that you can barely even see. The battery life was at 98% so this was an awesome deal for the money. Definitely worth buying",5
18,"Ignore all the bad reviews !I got my IPhone 8 Gold in the mail this afternoon and it was dent & scratch free. When I went into setting the battery storage is 100% and the battery life is great!It even came with an apple charger & and apple wall box. No dongle though.Amazing purchase, I’m so glad I bought it!",5
19,I just received the device and it came completely scratched up and had a crack in the screen located  near ear piece speaker.,1
20,"There were a few small blemishes on the back of the phone that were only noticeable if you look really close.  Otherwise no scratches, dent, or anything else customers mentioned on either of the two phones that I ordered.  It came with a real Apple charger not a knockoff and the phone itself worked perfectly.  I saved $200 over buying a new phone and am super happy.",5
21,"I’m so disappointed I bought 2 iPhone 8 64gb in GOLD as the description says. But I ended up with two rose gold phones. I had gotten these as gifts that I needed to give as the person is leaving today, so now two middle aged men will be proud owners of a rose gold iPhone! 😦",1
22,"Always afraid of refurbished products, but not bad at all wife hasn't complained yet lol its been over a year.",5
23,The description claimed that it would work on any network and specifically listed Sprint.  When I took it to the Sprint store to get a SIM card and get the phone activated they ran the IMEI and said it would not work on their network as it was GSM and not CDMA.I was disappointed that there was no selection for CDMA in the product options.Would not recommend as you may not get a phone that will work on your network.,1
24,2 month ago I have purchased above iphone 8 with 64gb. we received in good condition and it is totally dent and scratc. h free. so far working perfectly.,5
25,It's the best. It looks like a new one. All functions work well. Seller also sent me a screen protector. I strongly recommend it.,5
